#TYPE Selected.System.Management.Automation.PSCustomObject
"DisplayName","DisplayVersion"
"Update for Microsoft Visual Studio 2013 (KB2932965)","12.0.30112"
"WinRT Intellisense IoT - en-us","10.1.17763.132"
"NI System Web Server Base 2017","17.0.56"
"Microsoft Visual Studio 2013 XAML UI Designer","12.0.40629"
"NI Xerces Delay Load 2.7.9","2.79.49152"
"NI Trace Engine","17.00.49153"
"Windows SDK Desktop Tools x64","10.1.17763.132"
"WinRT Intellisense PPI - en-us","10.1.17763.132"
"Microsoft Visual C++ 2013 Core Libraries","12.0.21005"
"NI LabWindows/CVI 2017 Code Generator","17.00.49154"
"Application Insights Tools for Visual Studio 2013","2.5"
"Windows IP Over USB","10.1.17763.132"
"NI Measurement Studio Common .NET Assemblies for .NET 3.5 and VS2008","13.5.00173"
"NI SSL LabVIEW RTE 2016 Support","16.01.49152"
"Kit SDK de v?rification de Visual Studio?2012 - fra","12.0.30501"
"Microsoft Visual Studio 2013 Diagnostic Tools - x86","12.0.31101"
"NI-VISA 17.5.0 MAX Provider","17.50.49152"
"NI-Embedded CAN for RIO Real Time 17.0","17.0.18"
"Office 16 Click-to-Run Extensibility Component","16.0.9126.2315"
"Office 16 Click-to-Run Localization Component","16.0.9126.2315"
"Office 16 Click-to-Run Localization Component","16.0.9126.2315"
"Microsoft LightSwitch for Visual Studio 2013 CoreRes - ENU","12.0.30626"
"NI-VISA Documentation 17.5.0","17.50.49152"
"SDK de comprobaci?n de Visual Studio 2012 - esn","12.0.30501"
"Windows SDK for Windows Store Apps DirectX x86 Remote","10.1.17763.132"
"NI Microsoft Visual C++ 2015 Run-Time","14.14.49153"
"Windows Desktop Extension SDK Contracts","10.1.17763.132"
"PreEmptive Analytics Visual Studio Components","1.2.3197.1"
"Microsoft Visual Studio 2013 Add-in for Windows Phone","12.0.40629"
"Microsoft Visual C++  x64-x86 Cross Compilers - ENU Resources","12.0.21005"
"Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps","4.5.21005"
"????? Visual Studio 2012 Verification SDK - rus","12.0.30501"
"Microsoft ASP.NET MVC 4 - Visual Studio 2013 - ENU","4.1.21001.0"
"NordVPN network TAP","1.0.1"
"Windows Software Development Kit","8.100.26936"
"Microsoft Visual Studio 2013 Shell (Minimum) Resources","12.0.21005"
"NI-VISA Serial Passport 17.5.0","17.50.49152"
"Windows SDK for Windows Store Managed Apps Libs","10.1.17763.132"
"NI-VISA Development Common (32-Bit) 17.5.0","17.50.49152"
"NI OPC Support","17.00.49152"
"Microsoft Expression Blend SDK for .NET 4","2.0.20525.0"
"Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161","9.0.30729.6161"
"Microsoft Visual Studio Professional 2013","12.0.21005"
"WPT Redistributables","10.1.17763.132"
"Windows SDK Desktop Tools arm64","10.1.17763.132"
"NI-RoCo Error Files 17.5.0","17.50.49152"
"Blend for Visual Studio 2013 ENU resources","12.0.41002.1"
"NI-VISA Development Support Compatibility","17.50.49152"
"Visual Studio 2012-Verifizierungs-SDK - deu","12.0.30501"
"Windows SDK for Windows Store Apps Metadata","10.1.17763.132"
"Microsoft Visual C++ 2012 Redistributable (x64) - 11.0.60610","11.0.60610.1"
"NordVPN","6.18.9"
"Windows Software Development Kit DirectX x86 Remote","8.100.25984"
"Microsoft Visual C++ 2013 Extended Libraries","12.0.21005"
"NI SLCP 2.2","2.20.49155"
"Microsoft .NET Framework 4.5.1 RC Multi-Targeting Pack for Windows Store Apps (ENU)","4.5.21005"
"NI-RIO MAX Provider 17.0","17.00.49153"
"Windows Phone 8.1 Tools for Visual Studio 2013 - ENU","12.0.30723"
"Microsoft Visual C++  x86 Libraries","12.0.21005"
"Microsoft SQL Server System CLR Types","10.50.1600.1"
"PS TO PC CONVERTER","2007.01.01"
"NI VC2008RTE x86","9.10.49152"
"Microsoft Visual C++ 2012 Compilers","11.0.60610"
"Microsoft Visual C++  ARM Libraries","12.0.21005"
"Windows Team Extension SDK","10.1.17763.132"
"NI Vision Runtime 2017 .NET","17.00.49153"
"Python Launcher","3.6.6386.0"
"SDK Debuggers","10.1.17763.132"
"NI-VISA GPIB Passport 17.5.0","17.50.49152"
"NI MAX Remote Configuration Installer 17.5","17.50.49153"
"NI-PAL 17.5","17.50.49152"
"Microsoft SQL Server Data Tools - enu (12.0.41012.0)","12.0.41012.0"
"Windows IoT Extension SDK Contracts","10.1.17763.132"
"NI FIRST Robotics Competition 2018 Driver Station","17.0.248"
"NI LabVIEW Runtime Interop 2015","15.20.49153"
"Windows SDK Desktop Libs x64","10.1.17763.132"
"NI Assistant Framework","17.00.49153"
"Microsoft Visual Studio 2013 Shell (Minimum) Interop Assemblies","12.0.21005"
"Microsoft LightSwitch v4.5 SDK","12.0.30626"
"WinRT Intellisense UAP - en-us","10.1.17763.132"
"NI-VISA Interactive Control 17.5.0","17.50.49152"
"Microsoft Visual C++ 2012 x86 Additional Runtime - 11.0.61030","11.0.61030"
"LocalESPCui for en-us Dev12","8.100.25984"
"NI System Configuration Runtime 17.5.0","17.50.49152"
"NI PXI Platform Software Error Files 17.0","17.00.49152"
"NI LabVIEW Runtime 2016 Non-English Support.","16.01.49152"
